message_id,action,message_type,reason,confidence,evidence_message_ids
msg_037,notify,urgent,"The message conveys an immediate, time-sensitive water delivery update in the user's residential society group requiring prompt action within 10 minutes. The group is unmuted and the user is an active participant with a history of engaging with similar urgent utility alerts.",0.95,message_0269;message_0129
msg_007,digest,event,"The message is a routine community event update with a deadline next Sunday and explicitly asks residents not to reply in the thread. Given that the user has a high notification dismissal rate (22 in 30d) and the group is unmuted but active, this non-urgent informational update is best routed to digest.",0.85,none
msg_085,mute,scam,Sender domain hdfcbank-kyc.in does not match official domain hdfc.bank.in; message contains payment and urgency language,0.95,none
msg_001,notify,urgent,"The message contains time-sensitive water supply instructions with a 20-minute deadline, arriving in an unmuted society notice group where the user has previously engaged with similar utility notices (message_0057).",0.95,message_0057
msg_021,notify,urgent,The message is an urgent payment notice from an official housing society notice group where the user is an active participant and admin who frequently engages with billing alerts.,0.92,message_0068;message_0029
msg_028,mute,scam,Sender domain link.wame.pro does not match official domain thrillophilia.com; message contains urgency language,0.9,message_0034;message_0112;message_0111;message_0314
msg_012,mute,forward,"The message is a classic forwarded chain-letter health tip sent to a dance class group, matching user u_003's historical pattern of dismissing and muting similar low-value forwarded spam content.",0.95,message_0247;message_0080;message_0079
msg_064,mute,scam,"The message exhibits classic phishing/scam patterns demanding urgent wallet and card details for a refund, which closely mirrors known malicious history patterns reported by the user.",0.98,message_0087;message_0183;message_0201
msg_103,notify,event,"The message concerns an item pickup with a specific time-sensitive deadline (6 PM today), and the user has a consistent history of engaging promptly with similar requests from this sender (e.g., message_0065, message_0382).",0.95,message_0065;message_0382
msg_031,notify,urgent,"The message is an urgent work sync reminder from a coworker in an unmuted coworker group with high past engagement history, requiring immediate preparation before the meeting.",0.95,message_0249;message_0118
msg_057,notify,urgent,The direct mention from a coworker in an unmuted work group regarding a failing build blocking client updates matches historical engagement patterns where u_010 promptly responds to technical troubleshooting requests.,0.95,message_0169;message_0266
msg_087,mute,promotion,The user has explicitly muted this real estate lead group and has a history of dismissing and reporting similar promotional property voice notes and messages from this group.,0.95,message_0204;message_0203
msg_067,notify,urgent,The message concerns an urgent society maintenance payment deadline today at 5 PM in an unmuted residential group where the user is an admin and has historically engaged promptly with payment reminders.,0.92,message_0068;message_0029
msg_039,notify,urgent,"The direct mention (@u_006) regarding a time-sensitive school field-trip payment deadline requires immediate attention, consistent with the user's high engagement history with school notices.",0.95,message_0037;message_0051
msg_082,notify,urgent,"The voice note from a coworker in an active coworker group indicates a live production incident with payment failures, matching historical high-priority incident alerts that the user promptly engages with.",0.95,message_0218
msg_066,mute,promotion,User opted out of promotions from this business on 2026-07-17 23:55 (promotions_opted_out_at set); message reads as promotional content,0.88,message_0188;message_0187;message_0336
msg_049,notify,event,The message is a legitimate time-sensitive logistics update regarding an active return pickup from a verified business (Shopee) with which the user has a strong engagement history and recent activity.,0.95,message_0153;message_0154
msg_015,mute,scam,"The message demands sensitive OTP information under threat of profile locking, matching known phishing patterns seen in historical phishing attempts like message_0045 and message_0213, making it a high-risk security threat.",0.98,message_0045;message_0213
msg_051,mute,promotion,User opted out of promotions from this business on 2026-07-17 23:55 (promotions_opted_out_at set); message reads as promotional content,0.88,message_0104;message_0103;message_0337;message_0356;message_0257
msg_097,digest,personal,"The message explicitly states there is nothing urgent and requests no call tonight, making immediate interruption unnecessary. Historical interaction patterns with this sender (u_041) show similar low-urgency evening check-ins (e.g., message_0054, message_0225) which are routinely opened later without immediate replies.",0.92,message_0054;message_0225
msg_089,notify,event,"The message contains a time-sensitive logistical notification regarding a left-behind item at a pottery workshop, requiring prompt attention before 7 PM. Although a weak historical cross-user signal exists for a different message type, the content is contextually benign and actionable for the user.",0.85,none
msg_053,digest,business_update,"The user is an admin in an investment group that is unmuted, but the message explicitly contains passive research commentary ('no intraday call, read after market') similar to past informational updates that the user opens later without immediate urgency.",0.85,message_0411;message_0253
msg_059,mute,scam,"The message asks for sensitive account details under false pretenses of claiming benefits with an urgent deadline, matching typical phishing patterns observed in past scam advisories.",0.98,message_0213;message_0053
msg_024,mute,promotion,User opted out of promotions from this business on 2026-07-17 23:55 (promotions_opted_out_at set); message reads as promotional content,0.88,message_0104;message_0103;message_0337;message_0356;message_0257
msg_072,mute,scam,"The message uses classic phishing tactics demanding urgent OTP verification through an unofficial domain (account-help.in), closely mirroring historical scam patterns found in the user's history.",0.98,message_0045;message_0023
msg_036,mute,scam,"Near-duplicate of message_history.csv row message_0283 (100% token overlap), which this user ignored (notification_dismissed=1, muted_after_message=1, message_reported=1)",0.85,message_0128;message_0127;message_0283
msg_076,mute,scam,Sender domain talabat-refund.com does not match official domain talabat.com; message contains payment language,0.9,message_0208;message_0207;message_0160;message_0159
msg_055,notify,urgent,"The message explicitly requests urgent assistance with a strict ten-minute deadline from an extended family member in an unmuted group, supported by historical precedent of quick-response communication.",0.92,message_0166
msg_102,notify,urgent,"The sender is a trusted colleague with a strong history of collaborative technical work and operational alerts (evidenced by message_0371 and message_0230). The content indicates an active production rollback requiring the user to stay online, necessitating an immediate notification.",0.95,message_0371;message_0230
msg_080,notify,urgent,"The message is an immediate time-sensitive alert from a residential society group regarding gate access and vehicle relocation with a 10-minute window, requiring instant user awareness.",0.95,message_0130
msg_093,digest,business_update,"Although the message claims to be from a verified business (FedEx) with a matching domain and explicit note that no payment is required, the user is currently within their Do Not Disturb window (21:00-06:30) at 22:19. Combined with cold-start history and high user dismissal rates, routing this standard delivery update to digest is appropriate to avoid unnecessary night interruption.",0.6,none
msg_034,mute,greeting,"group_members.group_muted_by_user=1 and forwarded_count=11 is an outlier (>= 7, the dataset's high-forward cluster); no direct mention or urgent deadline-today language found",0.85,message_0077;message_0171;message_0014;message_0013
msg_035,digest,promotion,"The sender is a verified business with matching domain and the user allows promotions, but this message is a repeated sales outreach pitch similar to message_0281 with no immediate urgency, making it suitable for a digest.",0.85,message_0281
msg_101,digest,personal,"The sender is a familiar contact sharing a casual care message about food, explicitly stating 'No need to reply'. Given historical behavior where the user reads such messages later without immediate replies, digesting this avoids unnecessary interruption during work hours.",0.88,message_0370;message_0229;message_0268
msg_041,digest,business_update,"The message is a low-urgency survey request from a verified educational business with historical precedent of similar surveys that the user previously opened. However, because it uses a third-party shortlink domain and the user has a moderate dismissal rate, it should be digested rather than interrupting immediately.",0.65,message_0137;message_0138
msg_011,mute,greeting,"group_members.group_muted_by_user=1 and forwarded_count=8 is an outlier (>= 7, the dataset's high-forward cluster); no direct mention or urgent deadline-today language found",0.85,message_0077;message_0171;message_0014;message_0013;message_0123
msg_110,mute,scam,"The message is a phishing attempt asking for a login code under false security pretences, closely matching previous scam attempts in the user's history such as message_0238.",1.0,message_0238;message_0381
msg_095,mute,scam,"The message attempts credential theft by asking for wallet PIN confirmation on an external phishing domain, matching known scam patterns seen in user history.",0.99,message_0087;message_0183;message_0201
msg_074,mute,promotion,"group_members.group_muted_by_user=1 and forwarded_count=7 is an outlier (>= 7, the dataset's high-forward cluster); no direct mention or urgent deadline-today language found",0.85,message_0204;message_0203;message_0223;message_0358
msg_073,mute,scam,"The message exhibits classic phishing patterns demanding immediate security verification via an external link, closely mirroring previous fraudulent messages reported by the user.",0.99,message_0087;message_0183
msg_054,mute,scam,The message exhibits classic advance-fee loan scam patterns (paying a fee to release funds) sent within an unrelated food group context. The user has a strong history of dismissing and reporting similar fraudulent messages.,0.98,message_0164;message_0163
msg_068,digest,event,"The message explicitly states there is no urgency and mentions a poll will be posted at night, matching historical interaction patterns where similar casual group coordination messages are reviewed later without immediate interruption.",0.88,message_0191
msg_100,notify,urgent,"The sender is reporting a critical production incident regarding payment worker retries with a strict 20-minute deadline, mirroring high-priority operational alerts from history that the user consistently responded to immediately.",0.95,message_0362;message_0228
msg_062,digest,event,"The message was sent at 22:13, which falls within the user's active do-not-disturb window (21:30-06:30). Even though it's an important building announcement about a fire alarm test, urgent interruption is deferred since it concerns an event happening the next morning and the user has DND active.",0.92,message_0043
msg_096,notify,urgent,"The incoming message claims an urgent personal matter regarding a lost passport found at the recipient's building reception, requiring action before 18h. Although there is weak cross-user safety evidence from unrelated contexts, this specific personal notice is a time-sensitive alert worth notifying rather than assuming spam.",0.65,message_0095
msg_043,notify,urgent,"The message conveys an immediate, time-sensitive utility notice from an unmuted society group regarding water tanker supply leaving in 15 minutes, requiring prompt action similar to past emergency utility alerts that user u_011 regularly engages with.",0.92,message_0269
msg_077,digest,event,"The message arrives during the user's do-not-disturb window (21:00-06:00) from an unmuted school group where the user has active history with similar announcements, so it should be digested rather than interrupting sleep.",0.92,message_0051;message_0037
msg_081,notify,urgent,"The voice note from School Transport contains time-sensitive logistics regarding a child's pickup location change for today, matching a historically important alert pattern.",0.95,message_0217
msg_025,notify,business_update,"The message is a verified transactional order update from Amazon India regarding an active order ending in 4821, matching historical order updates that the user regularly opens and engages with.",0.95,message_0105;message_0239;message_0004
msg_084,mute,promotion,User opted out of promotions from this business on 2026-07-17 23:55 (promotions_opted_out_at set); message reads as promotional content,0.88,message_0220
msg_022,mute,scam,"The message requests urgent payment via an external link with instructions to send a screenshot, matching patterns of prior reported phishing attempts in the society maintenance group.",0.95,message_0151;message_0152
